ID,Lat,Lon
ID_R1XF70RMVGL3,14.542826,33.313483
ID_0ZBIDY0PEBVO,14.35948,33.284108
ID_C20R2C0AYIT0,14.419128,33.52845
ID_MMU0PFMDQ7FW,14.204341,33.340792
ID_FA7TDFAUVU2A,14.442394,33.292732
ID_67DBK0EXDU6W,14.399994,33.492967
ID_DXWZP0E8FG9E,14.258599,33.425234
ID_MRFDJA9ISXG4,14.303156,33.36882
ID_IECISSYAN80G,14.439071,33.301266
ID_QIVKUVMV37NW,14.251952,33.206045
ID_5YMARFPBSTDF,14.290849,33.316807
ID_D055INURBWBL,14.159335,33.200565
ID_KSCSPRYSEH64,14.408438,33.32588
ID_0VNXL2Q6J4DC,14.227158,33.482636
ID_FAXB9O0ADKUU,14.194819,33.38445
ID_FFUA5GRFDY62,14.284022,33.262998
ID_S9PPVUBPVU3G,14.360468,33.157536
ID_PDPOUEXBHPY8,14.323278,33.257249
ID_L2U7DUSPD3J0,14.449581,33.143073
ID_J731FLUQT2A5,14.427572,33.202541
ID_HRZAVE6WD5V9,14.459912,33.229671
ID_TVUFHH090MVE,14.369631,33.277551
ID_6JY5PGVW90D9,14.30603,33.22985
ID_3Q700UD8YAPM,14.206138,33.384899
ID_AKMOKH9K8ZIW,14.483268,33.263896
ID_L0RJI5FIQEQ8,14.529621,33.48039
ID_TGFJKT66QTS5,14.197963,33.263447
ID_RNBJNOSWS1OF,14.186554,33.23515
ID_845YHZ9HALK5,14.502851,33.323814
ID_7JQ221APF44L,14.460181,33.126903
ID_SUNMRBSEIX7H,14.306749,33.329653
ID_BRUG2R3A8KMO,14.560792,33.502848
ID_NZFWCYVAX8W1,14.170834,33.396398
ID_8JS6LDZP3LI7,14.362534,33.257518
ID_4EBOFVEUNT0P,14.395772,33.535098
ID_O5DBOSUYXZ8O,14.299562,33.358669
ID_5FK4299SPHIA,14.463235,33.190145
ID_LX1ZKV3VGH7F,14.19437,33.226976
ID_SKDDFFIYZEHC,14.466649,33.213411
ID_QD617Y8O0EYH,14.418948,33.175951
ID_0DAEEQV9I7ED,14.194459,33.379779
ID_0IIXJN8964FD,14.317169,33.53923
ID_4A0H85CHI8A8,14.452995,33.233803
ID_O0U9FOUS24UB,14.367385,33.210806
ID_SC49W6WL7ZU3,14.279889,33.331809
ID_EWO6Z57QRZGL,14.29022,33.481199
ID_SP6FBJI7EA3K,14.423889,33.244044
ID_1KDYP3YGV9JA,14.405923,33.533032
ID_V1UDNFVJXSL5,14.42326,33.200565
ID_704WWMJ429SL,14.210539,33.178646
ID_3ABTBF5KNVHU,14.195178,33.42748
ID_O9RJHJWSIANE,14.303964,33.409513
ID_5GS054Q9NS64,14.314025,33.53914
ID_UOVFL1H4J6TD,14.406372,33.543811
ID_30L3J73G19IL,14.357324,33.378971
ID_UW0K47YIMDHZ,14.478058,33.565281
ID_64BOOGYVMIS9,14.3699,33.300368
ID_53TVVFAU0ZXO,14.283662,33.325161
ID_0S9K3QB1P4T0,14.355438,33.233533
ID_07HVB7TS229V,14.395682,33.258956
ID_X74AO7WWAQTL,14.164186,33.367742
ID_WO0LYKZK5Y7O,14.489826,33.483445
ID_9K65GHO70ORZ,14.199221,33.364328
ID_M7QOIJBSQAER,14.428021,33.25123
ID_HZ0UTM7COSBB,14.454971,33.218981
ID_B5SBXZ20SWWL,14.331812,33.248445
ID_3XCV29T2MLNE,14.425147,33.199397
ID_NIWO5ZGAYT6Q,14.174786,33.464041
ID_I6E6RM3Q4OB0,14.521177,33.433049
ID_PSLYAOLR8MAN,14.465841,33.564023
ID_TBAKSBLY0U9B,14.276026,33.340433
ID_WDO4SC010QY2,14.343849,33.207123
ID_5MHKGMVMOFB7,14.358941,33.272251
ID_FHBAM28YTGLH,14.558726,33.503926
ID_U8IMWS8GDA3G,14.466829,33.3045
ID_7788J3GHLWJL,14.351126,33.27234
ID_9MATU2UE9AMH,14.254826,33.244133
ID_25W0EV8R380G,14.221589,33.255991
ID_LKPZYAML4AP9,14.329117,33.557645
ID_ERVODRIN6NQJ,14.119091,33.237935
ID_JW3C3SLIFPU9,14.529262,33.449309
ID_KJCLG3OLWC2R,14.272343,33.338816
ID_HE3IUU07DVS0,14.399904,33.360465
ID_Y65RF4QM80HW,14.27962,33.396218
ID_YHNFKUGEITAM,14.458295,33.407717
ID_N06DUIS76U2C,14.406731,33.220777
ID_L1COTIFNKGF0,14.149364,33.243325
ID_6XGVCOPKFU0R,14.426674,33.335672
ID_YHQON2FO5BSN,14.322919,33.265334
ID_8L8W2UENQ7Z6,14.242519,33.283569
ID_VV3H38E5YD4K,14.150083,33.361453
ID_755PHV7RO4EB,14.385441,33.265962
ID_F1HEH3BL1ECS,14.480483,33.24063
ID_SBVTWKA8I0T6,14.292555,33.574174
ID_DCPG8M562NPX,14.463056,33.127083
ID_17PE7O6U1ZBY,14.13014,33.440505
ID_4JA9RS17TQPI,14.421643,33.500153
ID_S9SQBNJCNZ2O,14.186914,33.18754
ID_27I5XPO4NVZA,14.181524,33.340882
ID_QCPFXXFXSEZE,14.282045,33.34717
ID_9GZNKM0Q6WPA,14.271715,33.260483
ID_XQNINOD7OUBR,14.233536,33.228323
ID_N2J7TZWCZMCW,14.301988,33.329294
ID_MSMT0GS024EG,14.490095,33.331899
ID_2E2VILZYVPFF,14.410325,33.265962
ID_PGTB2LKLGHXB,14.518751,33.439427
ID_8TPR6JLPLA49,14.400713,33.51803
ID_PLZKY0Y76BF7,14.189788,33.280695
