iter	Passed	Remaining
0	45	45674
1	68	34246
2	92	30902
3	117	29155
4	146	29059
5	173	28809
6	198	28159
7	222	27588
8	245	27023
9	268	26627
10	300	27026
11	330	27214
12	361	27435
13	393	27681
14	423	27789
15	453	27908
16	481	27827
17	539	29453
18	575	29691
19	605	29654
20	633	29527
21	664	29538
22	693	29478
23	725	29507
24	755	29475
25	782	29330
26	808	29142
27	837	29082
28	868	29075
29	897	29016
30	928	29018
31	957	28971
32	985	28890
33	1015	28845
34	1049	28929
35	1083	29003
36	1116	29051
37	1166	29531
38	1204	29679
39	1246	29908
40	1287	30104
41	1342	30622
42	1385	30824
43	1417	30788
44	1449	30764
45	1481	30716
46	1509	30612
47	1541	30573
48	1575	30580
49	1610	30592
50	1647	30652
51	1679	30610
52	1711	30577
53	1739	30466
54	1766	30345
55	1796	30276
56	1825	30202
57	1855	30132
58	1879	29973
59	1904	29830
60	1931	29728
61	1959	29639
62	1985	29531
63	2011	29416
64	2039	29336
65	2095	29654
66	2127	29622
67	2152	29504
68	2178	29393
69	2205	29302
70	2232	29216
71	2268	29244
72	2303	29251
73	2328	29136
74	2355	29051
75	2383	28975
76	2412	28915
77	2443	28877
78	2472	28821
79	2503	28787
80	2529	28698
81	2557	28629
82	2585	28564
83	2611	28476
84	2640	28427
85	2666	28344
86	2700	28344
87	2726	28252
88	2752	28169
89	2777	28084
90	2804	28013
91	2830	27939
92	2885	28144
93	2913	28078
94	2941	28017
95	2964	27917
96	2991	27845
97	3017	27768
98	3043	27695
99	3066	27599
100	3091	27520
101	3119	27462
102	3148	27419
103	3173	27339
104	3199	27272
105	3225	27204
106	3251	27135
107	3278	27080
108	3309	27050
109	3340	27025
110	3374	27027
111	3404	26994
112	3431	26932
113	3457	26871
114	3485	26826
115	3515	26788
116	3544	26751
117	3623	27087
118	3678	27235
119	3737	27404
120	3763	27339
121	3791	27287
122	3821	27249
123	3849	27196
124	3876	27133
125	3904	27081
126	3930	27019
127	3955	26946
128	3982	26891
129	4012	26853
130	4043	26824
131	4071	26770
132	4097	26713
133	4124	26656
134	4150	26591
135	4175	26527
136	4200	26459
137	4228	26414
138	4264	26413
139	4295	26384
140	4321	26325
141	4348	26271
142	4373	26208
143	4398	26143
144	4430	26123
145	4466	26123
146	4497	26095
147	4522	26037
148	4546	25969
149	4572	25912
150	4602	25879
151	4628	25819
152	4656	25776
153	4686	25747
154	4712	25693
155	4740	25644
156	4766	25592
157	4795	25553
158	4821	25504
159	4846	25446
160	4876	25412
161	4905	25375
162	4935	25345
163	4960	25286
164	4986	25235
165	5011	25178
166	5038	25133
167	5063	25076
168	5091	25037
169	5119	24996
170	5158	25008
171	5199	25031
172	5228	24994
173	5256	24952
174	5282	24901
175	5309	24855
176	5341	24834
177	5368	24790
178	5395	24746
179	5422	24702
180	5449	24658
181	5473	24601
182	5498	24548
183	5523	24497
184	5554	24468
185	5585	24444
186	5611	24396
187	5635	24341
188	5662	24295
189	5689	24253
190	5714	24204
191	5739	24153
192	5764	24101
193	5795	24076
194	5820	24028
195	5848	23990
196	5875	23951
197	5901	23905
198	5926	23856
199	5953	23815
200	5980	23774
201	6010	23743
202	6036	23698
203	6064	23662
204	6093	23630
205	6117	23579
206	6143	23534
207	6171	23497
208	6200	23468
209	6226	23423
210	6253	23382
211	6278	23336
212	6306	23300
213	6332	23256
214	6360	23222
215	6385	23177
216	6410	23130
217	6440	23101
218	6465	23055
219	6492	23020
220	6519	22980
221	6543	22931
222	6572	22902
223	6599	22863
224	6622	22812
225	6679	22874
226	6711	22854
227	6737	22813
228	6762	22769
229	6789	22730
230	6814	22686
231	6843	22654
232	6868	22611
233	6893	22566
234	6919	22524
235	6945	22483
236	6969	22438
237	6995	22396
238	7020	22354
239	7049	22323
240	7076	22286
241	7103	22249
242	7127	22205
243	7153	22163
244	7177	22118
245	7205	22084
246	7233	22053
247	7261	22018
248	7289	21985
249	7315	21945
250	7340	21905
251	7368	21872
252	7393	21829
253	7420	21794
254	7451	21768
255	7476	21729
256	7503	21693
257	7531	21660
258	7560	21629
259	7588	21597
260	7616	21564
261	7640	21522
262	7671	21497
263	7698	21461
264	7723	21422
265	7751	21388
266	7776	21350
267	7802	21310
268	7826	21268
269	7850	21226
270	7877	21190
271	7907	21163
272	7934	21129
273	7959	21088
274	7983	21047
275	8009	21010
276	8037	20978
277	8065	20946
278	8091	20909
279	8118	20875
280	8179	20928
281	8223	20938
282	8247	20895
283	8272	20856
284	8296	20814
285	8328	20790
286	8354	20754
287	8379	20716
288	8406	20680
289	8436	20655
290	8466	20627
291	8494	20595
292	8524	20568
293	8555	20545
294	8584	20515
295	8608	20473
296	8636	20441
297	8661	20404
298	8687	20367
299	8713	20332
300	8740	20297
301	8769	20268
302	8798	20238
303	8823	20200
304	8851	20170
305	8877	20133
306	8902	20096
307	8928	20059
308	8953	20022
309	8982	19992
310	9011	19963
311	9036	19926
312	9062	19891
313	9086	19850
314	9112	19816
315	9138	19780
316	9165	19747
317	9193	19717
318	9223	19691
319	9250	19656
320	9277	19624
321	9300	19583
322	9326	19548
323	9351	19510
324	9377	19475
325	9402	19439
326	9432	19413
327	9461	19384
328	9486	19347
329	9517	19324
330	9544	19291
331	9570	19255
332	9594	19217
333	9620	19184
334	9649	19155
335	9678	19126
336	9703	19090
337	9728	19053
338	9752	19016
339	9778	18981
340	9803	18945
341	9828	18909
342	9855	18877
343	9912	18902
344	9944	18880
345	9972	18850
346	9998	18815
347	10025	18782
348	10050	18746
349	10074	18709
350	10100	18676
351	10131	18650
352	10159	18620
353	10184	18586
354	10208	18548
355	10236	18517
356	10262	18484
357	10292	18457
358	10318	18424
359	10347	18395
360	10372	18360
361	10400	18330
362	10424	18292
363	10452	18262
364	10478	18230
365	10505	18198
366	10533	18168
367	10561	18138
368	10589	18108
369	10618	18079
370	10642	18043
371	10669	18011
372	10695	17979
373	10721	17945
374	10754	17923
375	10783	17895
376	10810	17864
377	10835	17829
378	10860	17795
379	10884	17758
380	10910	17726
381	10937	17694
382	10972	17677
383	11001	17648
384	11031	17621
385	11057	17588
386	11084	17557
387	11110	17524
388	11135	17491
389	11164	17461
390	11192	17432
391	11217	17398
392	11245	17369
393	11271	17336
394	11296	17301
395	11321	17268
396	11346	17234
397	11370	17199
398	11396	17166
399	11454	17181
400	11491	17166
401	11519	17136
402	11545	17104
403	11572	17072
404	11596	17036
405	11624	17007
406	11659	16987
407	11687	16958
408	11712	16924
409	11738	16891
410	11763	16857
411	11788	16824
412	11813	16791
413	11841	16760
414	11869	16731
415	11897	16702
416	11924	16671
417	11976	16675
418	12028	16679
419	12061	16655
420	12092	16631
421	12122	16603
422	12148	16571
423	12176	16542
424	12203	16510
425	12229	16478
426	12256	16447
427	12284	16417
428	12315	16391
429	12342	16360
430	12368	16328
431	12394	16296
432	12421	16265
433	12446	16232
434	12473	16200
435	12505	16177
436	12537	16152
437	12572	16132
438	12605	16108
439	12635	16081
440	12664	16053
441	12689	16020
442	12720	15994
443	12752	15968
444	12790	15951
445	12821	15926
446	12852	15900
447	12882	15872
448	12911	15844
449	12940	15815
450	12996	15821
451	13031	15799
452	13062	15773
453	13090	15743
454	13124	15720
455	13151	15689
456	13183	15664
457	13216	15639
458	13243	15609
459	13268	15576
460	13295	15545
461	13321	15512
462	13347	15480
463	13372	15447
464	13402	15419
465	13430	15389
466	13460	15362
467	13488	15332
468	13513	15300
469	13540	15268
470	13567	15237
471	13595	15208
472	13621	15176
473	13651	15149
474	13676	15116
475	13703	15084
476	13728	15051
477	13753	15019
478	13778	14986
479	13804	14954
480	13830	14923
481	13861	14896
482	13888	14866
483	13916	14837
484	13943	14805
485	13969	14774
486	13994	14741
487	14020	14710
488	14049	14681
489	14078	14653
490	14104	14621
491	14131	14590
492	14156	14558
493	14183	14527
494	14207	14494
495	14235	14465
496	14260	14432
497	14292	14407
498	14319	14377
499	14345	14345
500	14368	14311
501	14394	14279
502	14418	14246
503	14443	14213
504	14503	14216
505	14541	14196
506	14567	14165
507	14593	14134
508	14618	14101
509	14643	14069
510	14671	14039
511	14702	14013
512	14729	13982
513	14753	13949
514	14778	13917
515	14802	13884
516	14828	13852
517	14852	13820
518	14879	13789
519	14906	13760
520	14938	13734
521	14964	13702
522	14989	13671
523	15013	13638
524	15038	13606
525	15066	13576
526	15091	13544
527	15116	13513
528	15142	13482
529	15170	13453
530	15195	13420
531	15221	13390
532	15245	13357
533	15271	13326
534	15299	13297
535	15323	13264
536	15351	13236
537	15381	13208
538	15407	13177
539	15436	13149
540	15462	13118
541	15487	13087
542	15515	13058
543	15545	13030
544	15569	12998
545	15599	12971
546	15629	12943
547	15654	12912
548	15681	12882
549	15708	12852
550	15734	12821
551	15761	12791
552	15786	12760
553	15815	12732
554	15844	12704
555	15868	12672
556	15897	12644
557	15925	12615
558	15952	12585
559	15978	12554
560	16006	12525
561	16031	12494
562	16091	12490
563	16125	12465
564	16149	12433
565	16176	12403
566	16200	12371
567	16226	12341
568	16256	12313
569	16283	12284
570	16307	12252
571	16333	12221
572	16356	12188
573	16381	12157
574	16407	12127
575	16437	12100
576	16463	12069
577	16492	12041
578	16526	12016
579	16556	11989
580	16585	11961
581	16610	11930
582	16636	11899
583	16664	11870
584	16694	11843
585	16721	11813
586	16748	11783
587	16772	11752
588	16799	11722
589	16824	11691
590	16850	11661
591	16874	11629
592	16902	11600
593	16933	11573
594	16958	11543
595	16983	11512
596	17009	11482
597	17034	11451
598	17063	11423
599	17087	11391
600	17113	11361
601	17140	11331
602	17167	11302
603	17195	11273
604	17222	11244
605	17247	11213
606	17272	11182
607	17296	11151
608	17324	11122
609	17352	11094
610	17417	11089
611	17447	11061
612	17475	11032
613	17500	11002
614	17529	10973
615	17557	10945
616	17587	10917
617	17611	10886
618	17636	10855
619	17661	10824
620	17689	10795
621	17713	10764
622	17740	10735
623	17766	10705
624	17797	10678
625	17825	10650
626	17850	10619
627	17875	10588
628	17902	10559
629	17925	10527
630	17952	10498
631	17977	10468
632	18006	10439
633	18033	10410
634	18056	10379
635	18081	10348
636	18106	10318
637	18130	10287
638	18155	10256
639	18182	10227
640	18212	10199
641	18238	10170
642	18263	10140
643	18288	10109
644	18315	10080
645	18337	10048
646	18362	10018
647	18388	9989
648	18418	9961
649	18445	9932
650	18471	9902
651	18497	9872
652	18522	9842
653	18547	9812
654	18571	9781
655	18598	9752
656	18628	9725
657	18683	9710
658	18712	9682
659	18738	9653
660	18764	9623
661	18804	9601
662	18831	9571
663	18856	9542
664	18887	9514
665	18913	9485
666	18939	9455
667	18964	9425
668	18989	9395
669	19014	9365
670	19042	9336
671	19067	9306
672	19096	9278
673	19125	9250
674	19151	9220
675	19175	9190
676	19200	9160
677	19224	9130
678	19250	9100
679	19274	9070
680	19300	9040
681	19329	9012
682	19354	8983
683	19382	8954
684	19408	8924
685	19435	8896
686	19461	8866
687	19487	8837
688	19512	8807
689	19539	8778
690	19573	8752
691	19599	8723
692	19625	8693
693	19651	8664
694	19675	8634
695	19701	8605
696	19725	8575
697	19751	8545
698	19778	8517
699	19806	8488
700	19839	8462
701	19869	8434
702	19898	8406
703	19925	8377
704	19952	8348
705	19980	8320
706	20010	8293
707	20037	8264
708	20067	8236
709	20135	8224
710	20172	8199
711	20199	8170
712	20228	8142
713	20282	8124
714	20315	8097
715	20340	8068
716	20368	8039
717	20393	8009
718	20424	7982
719	20451	7953
720	20476	7923
721	20501	7894
722	20527	7864
723	20555	7836
724	20586	7808
725	20614	7780
726	20645	7752
727	20672	7723
728	20698	7694
729	20725	7665
730	20749	7635
731	20774	7606
732	20799	7576
733	20831	7549
734	20857	7520
735	20885	7491
736	20911	7462
737	20934	7432
738	20961	7403
739	20987	7373
740	21014	7345
741	21047	7318
742	21079	7291
743	21116	7266
744	21147	7238
745	21177	7210
746	21216	7185
747	21251	7159
748	21287	7133
749	21322	7107
750	21354	7080
751	21380	7051
752	21411	7023
753	21445	6996
754	21477	6969
755	21513	6943
756	21569	6923
757	21605	6897
758	21637	6870
759	21668	6842
760	21700	6815
761	21731	6787
762	21767	6761
763	21799	6733
764	21834	6707
765	21865	6679
766	21895	6651
767	21927	6623
768	21960	6596
769	21993	6569
770	22029	6543
771	22058	6514
772	22089	6486
773	22120	6458
774	22149	6430
775	22178	6402
776	22213	6375
777	22245	6347
778	22280	6320
779	22310	6292
780	22341	6264
781	22377	6238
782	22413	6211
783	22449	6185
784	22482	6157
785	22510	6128
786	22541	6100
787	22572	6072
788	22598	6043
789	22625	6014
790	22660	5987
791	22687	5958
792	22713	5928
793	22737	5899
794	22767	5870
795	22792	5841
796	22816	5811
797	22843	5782
798	22872	5753
799	22929	5732
800	22960	5704
801	22999	5678
802	23024	5648
803	23050	5619
804	23078	5590
805	23105	5561
806	23130	5531
807	23154	5502
808	23179	5472
809	23203	5442
810	23226	5412
811	23252	5383
812	23278	5354
813	23316	5327
814	23344	5299
815	23372	5270
816	23399	5241
817	23425	5212
818	23451	5182
819	23476	5153
820	23489	5121
821	23515	5092
822	23545	5063
823	23574	5035
824	23600	5006
825	23625	4976
826	23650	4947
827	23674	4917
828	23702	4889
829	23727	4859
830	23756	4831
831	23783	4802
832	23809	4773
833	23837	4744
834	23865	4715
835	23890	4686
836	23919	4658
837	23950	4630
838	23980	4601
839	24007	4572
840	24035	4544
841	24061	4515
842	24086	4485
843	24111	4456
844	24137	4427
845	24164	4398
846	24190	4369
847	24250	4346
848	24282	4318
849	24307	4289
850	24336	4261
851	24364	4232
852	24392	4203
853	24418	4174
854	24448	4146
855	24475	4117
856	24500	4088
857	24527	4059
858	24553	4030
859	24584	4002
860	24614	3973
861	24647	3945
862	24676	3917
863	24702	3888
864	24728	3859
865	24754	3830
866	24779	3801
867	24805	3772
868	24829	3743
869	24859	3714
870	24885	3685
871	24910	3656
872	24936	3627
873	24963	3598
874	24989	3569
875	25012	3540
876	25037	3511
877	25063	3482
878	25092	3454
879	25119	3425
880	25144	3396
881	25170	3367
882	25195	3338
883	25222	3309
884	25245	3280
885	25276	3252
886	25305	3223
887	25332	3195
888	25357	3166
889	25383	3137
890	25410	3108
891	25435	3079
892	25460	3050
893	25488	3022
894	25517	2993
895	25573	2968
896	25605	2940
897	25632	2911
898	25668	2883
899	25693	2854
900	25724	2826
901	25751	2797
902	25779	2769
903	25805	2740
904	25830	2711
905	25855	2682
906	25881	2653
907	25906	2624
908	25930	2595
909	25959	2567
910	25982	2538
911	26009	2509
912	26033	2480
913	26059	2452
914	26083	2423
915	26109	2394
916	26134	2365
917	26163	2337
918	26189	2308
919	26214	2279
920	26241	2250
921	26265	2222
922	26292	2193
923	26317	2164
924	26342	2135
925	26368	2107
926	26396	2078
927	26423	2050
928	26449	2021
929	26474	1992
930	26499	1963
931	26524	1935
932	26549	1906
933	26575	1877
934	26603	1849
935	26627	1820
936	26653	1792
937	26681	1763
938	26707	1735
939	26731	1706
940	26758	1677
941	26783	1649
942	26810	1620
943	26870	1593
944	26900	1565
945	26926	1537
946	26953	1508
947	26978	1479
948	27004	1451
949	27027	1422
950	27057	1394
951	27084	1365
952	27109	1336
953	27134	1308
954	27160	1279
955	27185	1251
956	27209	1222
957	27237	1194
958	27266	1165
959	27294	1137
960	27322	1108
961	27348	1080
962	27373	1051
963	27398	1023
964	27423	994
965	27447	966
966	27474	937
967	27507	909
968	27532	880
969	27556	852
970	27582	823
971	27606	795
972	27633	766
973	27658	738
974	27685	709
975	27712	681
976	27738	653
977	27766	624
978	27792	596
979	27818	567
980	27844	539
981	27870	510
982	27898	482
983	27925	454
984	27955	425
985	27983	397
986	28010	368
987	28033	340
988	28058	312
989	28083	283
990	28109	255
991	28134	226
992	28187	198
993	28288	170
994	28320	142
995	28360	113
996	28385	85
997	28412	56
998	28435	28
999	28461	0
